{'tid': 6, 'aid': 7, 'uid': 8, 'tstamp': 1289238901000}
{'tid': 354, 'aid': 273, 'uid': 147, 'tstamp': 1288340770000}
{'tid': 356, 'aid': 274, 'uid': 147, 'tstamp': 1288340522000}
{'tid': 358, 'aid': 274, 'uid': 147, 'tstamp': 1288340522000}
{'tid': 231, 'aid': 275, 'uid': 147, 'tstamp': 1288340450000}
{'tid': 288, 'aid': 276, 'uid': 147, 'tstamp': 1288340408000}
{'tid': 360, 'aid': 276, 'uid': 147, 'tstamp': 1288340408000}
{'tid': 362, 'aid': 276, 'uid': 147, 'tstamp': 1288340408000}
{'tid': 363, 'aid': 277, 'uid': 147, 'tstamp': 1288340300000}
{'tid': 176, 'aid': 279, 'uid': 147, 'tstamp': 1288340241000}
{'tid': 369, 'aid': 279, 'uid': 147, 'tstamp': 1288340241000}
{'tid': 372, 'aid': 280, 'uid': 147, 'tstamp': 1288285020000}
{'tid': 257, 'aid': 281, 'uid': 147, 'tstamp': 1288281669000}
{'tid': 373, 'aid': 281, 'uid': 147, 'tstamp': 1288281669000}
{'tid': 212, 'aid': 282, 'uid': 147, 'tstamp': 1288281509000}
{'tid': 304, 'aid': 282, 'uid': 147, 'tstamp': 1288281509000}
{'tid': 374, 'aid': 282, 'uid': 147, 'tstamp': 1288281509000}
{'tid': 376, 'aid': 282, 'uid': 147, 'tstamp': 1288281509000}
{'tid': 378, 'aid': 282, 'uid': 147, 'tstamp': 1288281509000}
{'tid': 345, 'aid': 283, 'uid': 147, 'tstamp': 1288276580000}
{'tid': 380, 'aid': 283, 'uid': 147, 'tstamp': 1288276580000}
{'tid': 248, 'aid': 284, 'uid': 147, 'tstamp': 1288276521000}
{'tid': 383, 'aid': 284, 'uid': 147, 'tstamp': 1288276521000}
{'tid': 345, 'aid': 285, 'uid': 147, 'tstamp': 1288276449000}
{'tid': 386, 'aid': 285, 'uid': 147, 'tstamp': 1288276449000}
{'tid': 387, 'aid': 286, 'uid': 147, 'tstamp': 1288276360000}
{'tid': 389, 'aid': 286, 'uid': 147, 'tstamp': 1288276360000}
{'tid': 391, 'aid': 286, 'uid': 147, 'tstamp': 1288276360000}
{'tid': 231, 'aid': 287, 'uid': 147, 'tstamp': 1288273958000}
{'tid': 304, 'aid': 287, 'uid': 147, 'tstamp': 1288273958000}
{'tid': 9, 'aid': 288, 'uid': 147, 'tstamp': 1288273935000}
{'tid': 231, 'aid': 288, 'uid': 147, 'tstamp': 1288273935000}
{'tid': 394, 'aid': 289, 'uid': 147, 'tstamp': 1288203828000}
{'tid': 397, 'aid': 289, 'uid': 147, 'tstamp': 1288203828000}
{'tid': 401, 'aid': 291, 'uid': 147, 'tstamp': 1288180839000}
{'tid': 403, 'aid': 292, 'uid': 147, 'tstamp': 1288175012000}
{'tid': 405, 'aid': 292, 'uid': 147, 'tstamp': 1288175012000}
{'tid': 407, 'aid': 293, 'uid': 147, 'tstamp': 1288117801000}
{'tid': 408, 'aid': 294, 'uid': 147, 'tstamp': 1288104386000}
{'tid': 412, 'aid': 296, 'uid': 147, 'tstamp': 1288092971000}
{'tid': 413, 'aid': 297, 'uid': 147, 'tstamp': 1288091003000}
{'tid': 313, 'aid': 299, 'uid': 147, 'tstamp': 1288090421000}
{'tid': 420, 'aid': 299, 'uid': 147, 'tstamp': 1288090421000}
{'tid': 424, 'aid': 301, 'uid': 147, 'tstamp': 1288053772000}
{'tid': 426, 'aid': 302, 'uid': 147, 'tstamp': 1288039975000}
{'tid': 428, 'aid': 302, 'uid': 147, 'tstamp': 1288039975000}
{'tid': 430, 'aid': 303, 'uid': 233, 'tstamp': 1289233531000}
{'tid': 433, 'aid': 303, 'uid': 233, 'tstamp': 1289233531000}
{'tid': 437, 'aid': 306, 'uid': 233, 'tstamp': 1288359792000}
{'tid': 439, 'aid': 306, 'uid': 233, 'tstamp': 1288359792000}
{'tid': 444, 'aid': 310, 'uid': 233, 'tstamp': 1288004958000}
{'tid': 448, 'aid': 313, 'uid': 233, 'tstamp': 1287498976000}
{'tid': 451, 'aid': 314, 'uid': 233, 'tstamp': 1287072782000}
{'tid': 451, 'aid': 315, 'uid': 233, 'tstamp': 1287070310000}
{'tid': 453, 'aid': 315, 'uid': 233, 'tstamp': 1287070310000}
{'tid': 461, 'aid': 320, 'uid': 233, 'tstamp': 1286538256000}
{'tid': 465, 'aid': 323, 'uid': 233, 'tstamp': 1286297425000}
{'tid': 465, 'aid': 324, 'uid': 233, 'tstamp': 1286297355000}
{'tid': 466, 'aid': 325, 'uid': 233, 'tstamp': 1286297307000}
{'tid': 467, 'aid': 326, 'uid': 233, 'tstamp': 1286297000000}
{'tid': 467, 'aid': 327, 'uid': 233, 'tstamp': 1286296376000}
{'tid': 467, 'aid': 328, 'uid': 233, 'tstamp': 1286296284000}
{'tid': 470, 'aid': 329, 'uid': 233, 'tstamp': 1286295655000}
{'tid': 472, 'aid': 330, 'uid': 233, 'tstamp': 1285765515000}
{'tid': 473, 'aid': 331, 'uid': 233, 'tstamp': 1285699407000}
{'tid': 472, 'aid': 332, 'uid': 233, 'tstamp': 1285697567000}
{'tid': 475, 'aid': 333, 'uid': 233, 'tstamp': 1285696836000}
{'tid': 476, 'aid': 334, 'uid': 233, 'tstamp': 1284850127000}
{'tid': 478, 'aid': 334, 'uid': 233, 'tstamp': 1284850127000}
{'tid': 482, 'aid': 336, 'uid': 233, 'tstamp': 1284726820000}
{'tid': 483, 'aid': 337, 'uid': 233, 'tstamp': 1284725695000}
{'tid': 485, 'aid': 337, 'uid': 233, 'tstamp': 1284725695000}
{'tid': 478, 'aid': 338, 'uid': 233, 'tstamp': 1284674676000}
{'tid': 487, 'aid': 338, 'uid': 233, 'tstamp': 1284674676000}
{'tid': 489, 'aid': 342, 'uid': 233, 'tstamp': 1283299978000}
{'tid': 491, 'aid': 342, 'uid': 233, 'tstamp': 1283299978000}
{'tid': 276, 'aid': 345, 'uid': 233, 'tstamp': 1280934350000}
{'tid': 493, 'aid': 345, 'uid': 233, 'tstamp': 1280934350000}
{'tid': 494, 'aid': 346, 'uid': 233, 'tstamp': 1278334352000}
{'tid': 494, 'aid': 347, 'uid': 233, 'tstamp': 1278334206000}
{'tid': 496, 'aid': 348, 'uid': 233, 'tstamp': 1278334128000}
{'tid': 494, 'aid': 349, 'uid': 233, 'tstamp': 1278334004000}
{'tid': 497, 'aid': 350, 'uid': 233, 'tstamp': 1278068986000}
{'tid': 500, 'aid': 351, 'uid': 233, 'tstamp': 1277835870000}
{'tid': 502, 'aid': 353, 'uid': 233, 'tstamp': 1276877238000}
{'tid': 395, 'aid': 358, 'uid': 233, 'tstamp': 1275052832000}
{'tid': 508, 'aid': 358, 'uid': 233, 'tstamp': 1275052832000}
{'tid': 509, 'aid': 359, 'uid': 233, 'tstamp': 1274466033000}
{'tid': 239, 'aid': 365, 'uid': 233, 'tstamp': 1271417073000}
{'tid': 514, 'aid': 365, 'uid': 233, 'tstamp': 1271417073000}
{'tid': 515, 'aid': 366, 'uid': 233, 'tstamp': 1269912387000}
{'tid': 488, 'aid': 367, 'uid': 233, 'tstamp': 1269622265000}
{'tid': 517, 'aid': 367, 'uid': 233, 'tstamp': 1269622265000}
{'tid': 518, 'aid': 368, 'uid': 233, 'tstamp': 1269023555000}
{'tid': 518, 'aid': 369, 'uid': 233, 'tstamp': 1269023508000}
{'tid': 521, 'aid': 371, 'uid': 233, 'tstamp': 1268870080000}
{'tid': 521, 'aid': 374, 'uid': 233, 'tstamp': 1268576205000}
{'tid': 522, 'aid': 375, 'uid': 233, 'tstamp': 1268328765000}
{'tid': 523, 'aid': 379, 'uid': 233, 'tstamp': 1268161922000}
{'tid': 524, 'aid': 382, 'uid': 233, 'tstamp': 1267549014000}
{'tid': 483, 'aid': 383, 'uid': 233, 'tstamp': 1267548816000}
{'tid': 525, 'aid': 383, 'uid': 233, 'tstamp': 1267548816000}
{'tid': 526, 'aid': 385, 'uid': 233, 'tstamp': 1267130215000}
{'tid': 449, 'aid': 386, 'uid': 233, 'tstamp': 1267120580000}
{'tid': 528, 'aid': 386, 'uid': 233, 'tstamp': 1267120580000}
{'tid': 497, 'aid': 387, 'uid': 233, 'tstamp': 1266339614000}
{'tid': 504, 'aid': 388, 'uid': 233, 'tstamp': 1266329765000}
{'tid': 529, 'aid': 390, 'uid': 233, 'tstamp': 1264096694000}
{'tid': 484, 'aid': 393, 'uid': 233, 'tstamp': 1264095275000}
{'tid': 531, 'aid': 395, 'uid': 233, 'tstamp': 1264094907000}
{'tid': 530, 'aid': 397, 'uid': 233, 'tstamp': 1264094321000}
{'tid': 523, 'aid': 399, 'uid': 233, 'tstamp': 1264094038000}
{'tid': 507, 'aid': 401, 'uid': 233, 'tstamp': 1262619503000}
{'tid': 535, 'aid': 402, 'uid': 233, 'tstamp': 1261682270000}
{'tid': 366, 'aid': 403, 'uid': 242, 'tstamp': 1289232482000}
{'tid': 536, 'aid': 403, 'uid': 242, 'tstamp': 1289232482000}
{'tid': 540, 'aid': 403, 'uid': 242, 'tstamp': 1289232482000}
{'tid': 548, 'aid': 405, 'uid': 242, 'tstamp': 1288879058000}
{'tid': 550, 'aid': 405, 'uid': 242, 'tstamp': 1288879058000}
{'tid': 552, 'aid': 406, 'uid': 242, 'tstamp': 1288874655000}
{'tid': 554, 'aid': 406, 'uid': 242, 'tstamp': 1288874655000}
{'tid': 90, 'aid': 407, 'uid': 242, 'tstamp': 1288868299000}
{'tid': 555, 'aid': 407, 'uid': 242, 'tstamp': 1288868299000}
{'tid': 557, 'aid': 407, 'uid': 242, 'tstamp': 1288868299000}
{'tid': 560, 'aid': 408, 'uid': 242, 'tstamp': 1288857448000}
{'tid': 562, 'aid': 408, 'uid': 242, 'tstamp': 1288857448000}
{'tid': 564, 'aid': 408, 'uid': 242, 'tstamp': 1288857448000}
{'tid': 566, 'aid': 408, 'uid': 242, 'tstamp': 1288857448000}
{'tid': 568, 'aid': 408, 'uid': 242, 'tstamp': 1288857448000}
{'tid': 103, 'aid': 409, 'uid': 242, 'tstamp': 1288857186000}
{'tid': 570, 'aid': 409, 'uid': 242, 'tstamp': 1288857186000}
{'tid': 572, 'aid': 409, 'uid': 242, 'tstamp': 1288857186000}
{'tid': 574, 'aid': 410, 'uid': 242, 'tstamp': 1288769646000}
{'tid': 576, 'aid': 410, 'uid': 242, 'tstamp': 1288769646000}
{'tid': 578, 'aid': 410, 'uid': 242, 'tstamp': 1288769646000}
{'tid': 370, 'aid': 412, 'uid': 242, 'tstamp': 1288700429000}
{'tid': 540, 'aid': 412, 'uid': 242, 'tstamp': 1288700429000}
{'tid': 585, 'aid': 412, 'uid': 242, 'tstamp': 1288700429000}
{'tid': 587, 'aid': 412, 'uid': 242, 'tstamp': 1288700429000}
{'tid': 540, 'aid': 413, 'uid': 242, 'tstamp': 1288629022000}
{'tid': 589, 'aid': 413, 'uid': 242, 'tstamp': 1288629022000}
{'tid': 591, 'aid': 413, 'uid': 242, 'tstamp': 1288629022000}
{'tid': 536, 'aid': 414, 'uid': 242, 'tstamp': 1288628505000}
{'tid': 589, 'aid': 414, 'uid': 242, 'tstamp': 1288628505000}
{'tid': 594, 'aid': 414, 'uid': 242, 'tstamp': 1288628505000}
{'tid': 560, 'aid': 415, 'uid': 242, 'tstamp': 1288628288000}
{'tid': 596, 'aid': 415, 'uid': 242, 'tstamp': 1288628288000}
{'tid': 599, 'aid': 415, 'uid': 242, 'tstamp': 1288628288000}
{'tid': 604, 'aid': 417, 'uid': 242, 'tstamp': 1288618018000}
{'tid': 606, 'aid': 417, 'uid': 242, 'tstamp': 1288618018000}
{'tid': 608, 'aid': 418, 'uid': 242, 'tstamp': 1287727141000}
{'tid': 610, 'aid': 418, 'uid': 242, 'tstamp': 1287727141000}
{'tid': 561, 'aid': 419, 'uid': 242, 'tstamp': 1287642728000}
{'tid': 612, 'aid': 419, 'uid': 242, 'tstamp': 1287642728000}
{'tid': 614, 'aid': 419, 'uid': 242, 'tstamp': 1287642728000}
{'tid': 616, 'aid': 419, 'uid': 242, 'tstamp': 1287642728000}
{'tid': 587, 'aid': 420, 'uid': 242, 'tstamp': 1287495678000}
{'tid': 606, 'aid': 420, 'uid': 242, 'tstamp': 1287495678000}
{'tid': 619, 'aid': 420, 'uid': 242, 'tstamp': 1287495678000}
{'tid': 621, 'aid': 420, 'uid': 242, 'tstamp': 1287495678000}
{'tid': 561, 'aid': 421, 'uid': 242, 'tstamp': 1287494895000}
{'tid': 624, 'aid': 421, 'uid': 242, 'tstamp': 1287494895000}
{'tid': 626, 'aid': 421, 'uid': 242, 'tstamp': 1287494895000}
{'tid': 628, 'aid': 421, 'uid': 242, 'tstamp': 1287494895000}
{'tid': 630, 'aid': 421, 'uid': 242, 'tstamp': 1287494895000}
{'tid': 625, 'aid': 422, 'uid': 242, 'tstamp': 1287404403000}
{'tid': 633, 'aid': 422, 'uid': 242, 'tstamp': 1287404403000}
{'tid': 540, 'aid': 425, 'uid': 242, 'tstamp': 1287383476000}
{'tid': 645, 'aid': 425, 'uid': 242, 'tstamp': 1287383476000}
{'tid': 647, 'aid': 425, 'uid': 242, 'tstamp': 1287383476000}
{'tid': 652, 'aid': 427, 'uid': 242, 'tstamp': 1287382677000}
{'tid': 654, 'aid': 427, 'uid': 242, 'tstamp': 1287382677000}
{'tid': 647, 'aid': 428, 'uid': 242, 'tstamp': 1287121086000}
{'tid': 656, 'aid': 428, 'uid': 242, 'tstamp': 1287121086000}
