´úÂëÃ»ÓĞĞŞ¸Ä¹ı£¬ÔËĞĞ²»µ½Ê®·ÖÖÓ
New Run at  12/22/2016 15:49:04
, Time, RandomReward; LinUCBReward; 
data,1196463600000,17;15591;28
data,1296514800000,17;7713;28
data,1222812000000,17;11024;28
data,1249077600000,17;6221;28
data,1164927600000,17;13139;28
data,1212271200000,17;9230;28
data,1277935200000,17;2411;28
data,1162335600000,17;5116;28
data,1267398000000,17;2829;28
data,1257030000000,17;4677;28
data,1285884000000,17;18387;28
data,1270072800000,17;2847;28
data,1267398000000,17;17640;28
data,1228086000000,17;11552;28
data,1249077600000,17;15161;28
data,1254348000000,17;8482;28
data,1267398000000,18;58;28
data,1233442800000,18;998;28
data,1204326000000,18;3200;28
data,1246399200000,18;10502;28
data,1304596472879,18;55;29
data,1304705522894,18;14874;29
data,1220220000000,18;1275;29
data,1304693866859,18;15448;29
data,1254348000000,18;16626;29
data,1199142000000,18;4613;29
data,1296514800000,18;3797;29
data,1241128800000,18;2439;29
data,1220220000000,18;7343;29
data,1267398000000,18;816;29
data,1270072800000,18;17213;29
data,1212271200000,18;9902;29
data,1214863200000,19;1031;29
data,1212271200000,19;858;29
data,1217541600000,19;2135;29
data,1167606000000,19;4222;29
data,1207000800000,19;993;29
data,1172703600000,19;11686;29
data,1285884000000,19;5925;29
data,1296514800000,19;17541;29
data,1291158000000,19;2291;29
data,1270072800000,19;10565;29
data,1304596447147,19;972;30
data,1272664800000,19;958;30
data,1143842400000,19;12033;30
data,1180648800000,19;18430;30
data,1238536800000,19;13713;30
data,1228086000000,19;1090;30
data,1293836400000,19;16521;30
data,1162335600000,19;4841;30
data,1228086000000,19;1537;30
data,1254348000000,19;7042;30
data,1204326000000,19;2965;30
data,1296514800000,19;1951;30
data,1267398000000,19;11401;30
data,1188597600000,19;11547;30
data,1264978800000,19;13581;30
data,1241128800000,19;10501;30
data,1157061600000,19;11577;30
data,1246399200000,19;3940;31
data,1283292000000,19;921;31
data,1304609051128,19;618;32
data,1267398000000,19;1106;33
data,1304694492487,19;7078;33
data,1251756000000,19;2959;33
data,1196463600000,19;4222;33
data,1222812000000,19;12292;33
data,1267398000000,19;18387;33
data,1251756000000,19;1179;33
data,1262300400000,19;10943;33
data,1222812000000,19;3870;33
data,1288566000000,19;1444;33
data,1209592800000,19;13622;33
data,1246399200000,19;16616;33
data,1212271200000,19;10580;33
data,1146434400000,19;5115;33
data,1257030000000,19;14623;33
data,1162335600000,19;5285;33
data,1214863200000,19;8401;33
data,1262300400000,19;441;34
data,1133391600000,19;11788;34
data,1214863200000,19;10908;34
data,1238536800000,19;16626;34
data,1238536800000,19;15448;34
data,1293836400000,20;5504;34
data,1193871600000,20;14807;34
data,1259622000000,20;173;35
data,1246399200000,20;8880;35
data,1204326000000,20;4839;35
data,1233442800000,20;8468;35
data,1296514800000,20;1258;35
data,1270072800000,20;5728;35
data,1267398000000,20;10765;35
data,1296514800000,20;9802;35
data,1230764400000,20;15865;35
data,1285884000000,20;1584;35
data,1159653600000,20;8168;35
data,1207000800000,20;6325;35
data,1204326000000,20;4254;35
data,1201820400000,20;3851;35
data,1167606000000,20;6139;35
data,1280613600000,20;16995;35
data,1235862000000,20;10923;35
data,1193871600000,20;15566;35
data,1209592800000,20;16995;35
data,1280613600000,20;11417;35
data,1209592800000,20;9265;35
data,1277935200000,20;15776;35
data,1264978800000,20;13962;35
data,1293836400000,20;14061;35
data,1220220000000,20;493;35
data,1225494000000,20;15787;35
data,1293836400000,20;16708;35
data,1280613600000,20;840;35
data,1264978800000,20;12638;35
data,1251756000000,20;14636;35
data,1185919200000,20;4701;35
data,1277935200000,20;4677;35
data,1199142000000,20;5139;35
data,1230764400000,20;3817;35
data,1304677616706,20;6450;35
data,1262300400000,20;3331;36
data,1220220000000,20;5937;36
data,1204326000000,20;12508;36
data,1209592800000,20;10039;36
data,1285884000000,20;16150;36
data,1257030000000,20;10619;36
data,1228086000000,20;13532;36
data,1246399200000,20;1960;36
data,1304934717012,20;606;37
data,1277935200000,20;14973;37
data,1209592800000,20;10565;37
data,1209592800000,20;17399;37
data,1196463600000,20;14957;37
data,1257030000000,20;8933;37
data,1133391600000,20;10174;38
data,1177970400000,20;2449;38
data,1241128800000,20;877;39
data,1212271200000,20;4168;39
data,1228086000000,20;14498;39
data,1296514800000,20;17473;39
data,1143842400000,20;4670;39
data,1304605847340,20;6031;39
data,1188597600000,20;9126;39
data,1230764400000,20;2978;39
data,1285884000000,20;5735;39
data,1280613600000,20;10976;39
data,1267398000000,20;5319;39
data,1272664800000,20;13102;39
data,1204326000000,20;9966;39
data,1270072800000,20;11623;39
data,1277935200000,20;4169;39
data,1293836400000,20;16150;39
data,1196463600000,20;3423;39
data,1172703600000,20;3122;39
data,1241128800000,20;11514;39
data,1254348000000,20;8175;39
data,1162335600000,20;11937;39
data,1272664800000,20;8340;39
data,1191189600000,20;15949;39
data,1191189600000,20;17436;39
data,1304596467368,20;72;40
data,1280613600000,20;12487;40
data,1204326000000,20;10572;40
data,1222812000000,20;1142;40
data,1251756000000,20;10976;40
data,1238536800000,20;13533;40
data,1291158000000,20;6134;40
data,1162335600000,20;11598;40
data,1249077600000,20;4774;40
data,1175378400000,20;7634;40
data,1214863200000,20;6257;40
data,1228086000000,20;14851;40
data,1207000800000,20;16995;40
data,1228086000000,20;12998;40
data,1191189600000,20;3626;40
data,1272664800000,20;17635;40
data,1191189600000,20;3601;40
data,1238536800000,20;15955;40
data,1264978800000,20;7947;40
data,1230764400000,20;7619;40
data,1214863200000,20;9807;40
data,1246399200000,20;8270;40
data,1212271200000,20;5545;40
data,1241128800000,20;6923;40
data,1146434400000,20;199;40
data,1257030000000,20;2597;40
data,1228086000000,20;1671;40
data,1251756000000,20;1079;40
data,1217541600000,20;12215;40
data,1241128800000,21;6262;40
data,1162335600000,22;1977;41
data,1288566000000,22;1874;41
data,1235862000000,22;10572;41
data,1298934000000,22;9425;41
data,1280613600000,22;17208;41
data,1217541600000,22;859;41
data,1212271200000,22;4193;41
data,1217541600000,22;8867;41
data,1270072800000,22;7345;41
data,1222812000000,22;4099;41
data,1293836400000,22;5691;41
data,1283292000000,22;13454;41
data,1257030000000,22;11623;41
data,1196463600000,22;6571;41
data,1262300400000,22;2186;41
data,1136070000000,22;3164;41
data,1220220000000,22;4097;41
data,1254348000000,22;6350;41
data,1275343200000,22;2420;41
data,1191189600000,22;16568;41
data,1291158000000,22;386;41
data,1264978800000,22;18115;41
data,1175378400000,22;6041;41
data,1199142000000,22;16026;41
data,1251756000000,22;11055;41
data,1275343200000,22;173;41
data,1207000800000,23;207;41
data,1183240800000,23;9126;41
data,1228086000000,23;3735;41
data,1246399200000,23;632;41
data,1157061600000,23;13559;41
data,1241128800000,23;3870;41
data,1262300400000,23;17285;41
data,1293836400000,23;15871;41
data,1222812000000,23;11461;41
data,1217541600000,23;5937;41
data,1214863200000,23;855;42
data,1272664800000,23;15871;42
data,1238536800000,23;14960;42
data,1288566000000,23;3361;42
data,1283292000000,23;8347;42
data,1149112800000,23;2559;43
data,1298934000000,23;13642;43
data,1283292000000,23;14662;43
data,1254348000000,24;8482;43
data,1304938472580,24;187;43
data,1285884000000,24;2291;43
data,1288566000000,24;6040;43
data,1228086000000,24;2732;43
data,1193871600000,24;9475;43
data,1257030000000,24;4541;43
data,1288566000000,24;8835;43
data,1133391600000,24;1470;43
data,1296514800000,24;11686;43
data,1193871600000,24;18387;43
data,1267398000000,24;8195;43
data,1298934000000,24;8361;43
data,1217541600000,24;8417;43
data,1230764400000,24;14623;43
data,1246399200000,24;3734;43
data,1170284400000,24;472;43
data,1272664800000,24;4830;43
data,1291158000000,24;6955;43
data,1304604797331,24;9126;43
data,1262300400000,24;1701;43
data,1207000800000,24;8157;43
data,1212271200000,24;3481;43
data,1243807200000,24;11055;43
data,1228086000000,24;3584;43
data,1246399200000,24;6342;43
data,1241128800000,24;3428;43
data,1188597600000,24;5904;43
data,1217541600000,24;11405;43
data,1193871600000,24;7334;43
data,1233442800000,24;3751;43
data,1196463600000,24;8401;43
data,1283292000000,24;14144;43
data,1159653600000,24;10163;43
data,1204326000000,24;8382;43
data,1214863200000,24;12370;43
data,1304935916141,24;17559;43
data,1188597600000,24;12292;43
data,1201820400000,24;1171;43
data,1175378400000,24;72;44
data,1275343200000,24;14476;44
data,1222812000000,24;1118;45
data,1207000800000,24;17534;45
data,1285884000000,24;7078;45
data,1272664800000,24;15448;45
data,1264978800000,24;5419;45
data,1285884000000,24;9416;45
data,1159653600000,24;11547;45
data,1262300400000,24;465;45
data,1175378400000,24;170;45
data,1230764400000,24;3067;46
data,1217541600000,24;36;46
data,1272664800000,24;14214;46
data,1262300400000,24;7855;46
data,1146434400000,24;2918;46
data,1222812000000,24;1962;46
data,1246399200000,24;13845;46
data,1267398000000,24;4995;46
data,1285884000000,24;11701;46
data,1235862000000,24;6955;46
data,1283292000000,24;14807;46
data,1228086000000,24;16591;46
data,1162335600000,24;709;46
data,1291158000000,24;7889;46
data,1214863200000,24;10487;46
data,1272664800000,24;12392;46
data,1249077600000,24;10720;46
data,1238536800000,24;4254;46
data,1183240800000,24;16626;46
data,1233442800000,24;16686;46
data,1254348000000,24;1383;46
data,1270072800000,24;4738;46
data,1201820400000,24;49;46
data,1225494000000,24;3813;46
data,1175378400000,24;536;46
data,1230764400000,24;5116;46
data,1264978800000,24;2611;46
data,1275343200000,24;2948;46
data,1254348000000,24;14811;46
data,1199142000000,24;13638;46
data,1233442800000,24;17951;46
data,1172703600000,24;3097;46
data,1280613600000,25;10923;46
data,1280613600000,25;4947;46
data,1288566000000,25;17289;46
data,1293836400000,25;16842;46
data,1272664800000,25;998;46
data,1251756000000,25;14634;46
data,1249077600000,25;18135;46
data,1154383200000,25;1573;46
data,1193871600000,25;18331;46
data,1285884000000,25;11703;46
data,1222812000000,25;8057;46
data,1185919200000,25;9810;46
data,1220220000000,25;17148;46
data,1243807200000,25;13406;46
data,1230764400000,25;190;47
data,1235862000000,25;5044;47
data,1257030000000,25;9802;47
data,1220220000000,25;9982;47
data,1267398000000,25;1424;48
data,1304606269069,25;11155;49
data,1288566000000,25;9265;49
data,1196463600000,25;13843;49
data,1167606000000,25;17473;49
data,1167606000000,25;5301;49
data,1249077600000,25;3590;49
data,1241128800000,25;2129;49
data,1277935200000,25;12917;49
data,1296514800000,26;1008;49
data,1212271200000,26;4896;49
data,1280613600000,26;18459;49
data,1172703600000,26;3434;49
data,1298934000000,26;1611;49
data,1122847200000,26;6835;49
data,1298934000000,27;3456;49
data,1262300400000,27;2938;50
data,1188597600000,27;16616;50
data,1249077600000,27;7713;50
data,1220220000000,27;331;51
data,1251756000000,27;10976;51
data,1235862000000,27;220;51
data,1222812000000,27;9466;51
data,1296514800000,27;4835;51
data,1209592800000,27;441;52
data,1222812000000,27;10555;52
data,1209592800000,27;5451;52
data,1149112800000,27;16855;52
data,1304695858589,27;15869;52
data,1304600812604,27;2830;52
data,1225494000000,27;12612;52
data,1254348000000,27;15998;52
data,1254348000000,27;2467;52
data,1243807200000,27;7831;52
data,1275343200000,27;1614;52
data,1304599307246,27;2936;52
data,1262300400000,27;15272;52
data,1167606000000,27;229;52
data,1259622000000,27;5628;52
data,1285884000000,27;13102;52
data,1230764400000,28;1504;52
data,1233442800000,28;3641;52
data,1254348000000,28;3308;52
data,1257030000000,28;1611;52
data,1270072800000,28;16823;52
data,1212271200000,28;7343;52
data,1291158000000,29;1611;52
data,1280613600000,29;11511;52
data,1235862000000,29;3752;52
data,1238536800000,30;4168;52
data,1267398000000,30;6570;52
data,1188597600000,30;9162;52
data,1275343200000,30;10362;52
data,1157061600000,30;1131;52
data,1249077600000,30;10597;52
data,1214863200000,30;316;53
data,1264978800000,30;728;53
data,1209592800000,30;14809;53
data,1209592800000,30;718;53
data,1264978800000,30;852;54
data,1251756000000,30;15871;54
data,1298934000000,30;18401;55
data,1207000800000,30;1962;55
data,1272664800000,30;12067;55
data,1167606000000,30;7349;55
data,1193871600000,30;13407;55
data,1285884000000,30;3177;55
data,1207000800000,30;5904;55
data,1180648800000,30;4916;55
data,1280613600000,30;17436;55
data,1188597600000,30;9;55
data,1272664800000,30;3016;55
data,1304606894617,31;9403;55
data,1277935200000,31;10500;55
data,1228086000000,31;72;56
data,1304601315641,31;6883;56
data,1277935200000,31;14454;56
data,1130799600000,31;5044;56
data,1304698110993,31;15955;56
data,1212271200000,31;18084;56
data,1285884000000,31;7855;56
data,1220220000000,31;6015;56
data,1291158000000,31;5608;56
data,1146434400000,31;621;56
data,1298934000000,31;8648;56
data,1136070000000,31;14454;56
data,1217541600000,31;1514;56
data,1201820400000,31;1919;56
data,1296514800000,31;2623;56
data,1246399200000,31;2027;57
data,1272664800000,31;3592;57
data,1291158000000,31;8195;57
data,1241128800000,31;11139;57
data,1291158000000,31;9063;57
data,1251756000000,31;12215;57
data,1272664800000,31;16049;57
data,1272664800000,31;6804;57
data,1217541600000,31;10501;57
data,1257030000000,31;416;57
data,1272664800000,31;11968;57
data,1241128800000,31;652;57
data,1283292000000,31;10806;57
data,1262300400000,31;6740;57
data,1277935200000,31;6140;57
data,1217541600000,31;14662;57
data,1296514800000,31;15935;57
data,1233442800000,31;2619;57
data,1249077600000,32;6958;57
data,1214863200000,32;15575;57
data,1251756000000,32;796;57
data,1304677297144,32;165;57
data,1275343200000,32;16205;57
data,1288566000000,32;1186;57
data,1207000800000,32;7802;57
data,1304671827260,32;15591;57
data,1304672841819,32;12292;57
data,1235862000000,32;5465;57
data,1267398000000,32;16502;57
data,1251756000000,32;525;57
data,1262300400000,32;6009;57
data,1188597600000,32;14852;57
data,1280613600000,32;1239;58
data,1285884000000,32;4844;58
data,1214863200000,32;6042;58
data,1199142000000,32;12761;58
data,1243807200000,32;2717;58
data,1304600809878,32;6572;58
data,1188597600000,32;11547;58
data,1275343200000,32;16148;58
data,1251756000000,32;4040;58
data,1283292000000,32;16616;58
data,1283292000000,32;12541;58
data,1180648800000,32;9265;58
data,1241128800000,32;7347;58
data,1277935200000,32;2347;59
data,1254348000000,32;59;59
data,1272664800000,32;1595;59
data,1246399200000,32;10486;59
data,1154383200000,32;2434;59
data,1264978800000,32;11055;59
data,1249077600000,32;10473;59
data,1296514800000,32;4493;59
data,1270072800000,32;11481;59
data,1204326000000,32;5924;59
data,1146434400000,32;689;59
data,1251756000000,32;2509;59
data,1246399200000,32;16049;59
data,1272664800000,32;4549;59
data,1228086000000,33;785;59
data,1162335600000,33;15422;59
data,1193871600000,33;24;59
data,1188597600000,33;302;59
data,1291158000000,34;11481;59
data,1143842400000,34;8595;59
data,1217541600000,34;16582;59
data,1214863200000,34;1764;59
data,1296514800000,34;16823;59
data,1272664800000,34;6560;59
data,1228086000000,34;5422;59
data,1151704800000,34;16708;59
data,1291158000000,34;1570;59
data,1233442800000,34;9475;59
data,1254348000000,34;15192;59
data,1199142000000,34;1116;59
data,1130799600000,34;11570;59
data,1228086000000,34;4704;59
data,1199142000000,34;4023;59
data,1249077600000,34;7133;59
data,1201820400000,34;9403;59
data,1185919200000,34;441;60
data,1220220000000,34;1671;60
data,1193871600000,34;6201;60
data,1162335600000,34;6771;60
data,1275343200000,34;421;60
data,1270072800000,34;2614;60
data,1212271200000,34;1895;60
data,1296514800000,34;3921;60
data,1280613600000,34;3584;60
data,1243807200000,34;1163;60
data,1298934000000,34;11726;60
data,1233442800000,34;5691;60
data,1259622000000,34;4896;60
data,1183240800000,34;4862;60
data,1272664800000,34;12325;60
data,1149112800000,34;3331;60
data,1201820400000,34;11824;60
data,1207000800000,35;1413;60
data,1183240800000,35;3444;61
data,1175378400000,35;8660;61
data,1225494000000,35;3656;61
data,1230764400000,35;16272;61
data,1201820400000,35;16818;61
data,1296514800000,35;9516;61
data,1241128800000,35;11577;61
data,1225494000000,35;523;61
data,1238536800000,35;8184;61
data,1185919200000,35;412;61
data,1283292000000,35;3258;61
data,1204326000000,35;2456;61
data,1228086000000,35;10784;61
data,1272664800000,36;14687;61
data,1254348000000,36;1188;61
data,1272664800000,36;13532;61
data,1222812000000,36;11824;61
data,1180648800000,36;10572;61
data,1235862000000,36;13816;61
data,1267398000000,36;3589;61
data,1201820400000,36;10726;61
